Creating new game... (seed: -7990516969185201090)
0, 0 | Next Action: RIGHT
69, 160 | Next Action: RIGHT
70, 160 | Next Action: RIGHT
71, 160 | Next Action: RIGHT
72, 160 | Next Action: RIGHT
73, 160 | Next Action: RIGHT
74, 160 | Next Action: RIGHT
75, 160 | Next Action: RIGHT
76, 160 | Next Action: RIGHT
77, 160 | Next Action: RIGHT
78, 160 | Next Action: RIGHT
79, 160 | Next Action: RIGHT
80, 160 | Next Action: RIGHT
81, 160 | Next Action: RIGHT
82, 160 | Next Action: RIGHT
83, 160 | Next Action: RIGHT
84, 160 | Next Action: RIGHT
85, 160 | Next Action: RIGHT
86, 160 | Next Action: RIGHT
87, 160 | Next Action: RIGHT
88, 160 | Next Action: RIGHT
89, 160 | Next Action: RIGHT
90, 160 | Next Action: RIGHT
91, 170 | Next Action: UP
92, 170 | Next Action: UP
93, 170 | Next Action: UP
94, 170 | Next Action: UP
95, 180 | Next Action: UP
96, 180 | Next Action: UP
97, 180 | Next Action: UP
98, 180 | Next Action: UP
99, 190 | Next Action: UP
100, 190 | Next Action: UP
101, 190 | Next Action: UP
102, 190 | Next Action: UP
103, 200 | Next Action: UP
104, 200 | Next Action: UP
105, 200 | Next Action: UP
106, 200 | Next Action: UP
107, 210 | Next Action: UP
108, 210 | Next Action: UP
109, 210 | Next Action: UP
110, 210 | Next Action: UP
111, 220 | Next Action: UP
112, 220 | Next Action: UP
113, 220 | Next Action: UP
114, 220 | Next Action: UP
115, 230 | Next Action: UP
116, 230 | Next Action: UP
117, 230 | Next Action: UP
118, 230 | Next Action: UP
119, 240 | Next Action: UP
120, 240 | Next Action: UP
121, 240 | Next Action: UP
122, 240 | Next Action: UP
123, 250 | Next Action: UP
124, 250 | Next Action: UP
125, 250 | Next Action: UP
126, 250 | Next Action: UP
127, 260 | Next Action: UP
128, 260 | Next Action: UP
129, 260 | Next Action: UP
130, 260 | Next Action: UP
131, 270 | Next Action: UP
132, 270 | Next Action: UP
133, 270 | Next Action: UP
134, 270 | Next Action: UP
135, 280 | Next Action: UP
136, 280 | Next Action: UP
137, 280 | Next Action: UP
138, 280 | Next Action: UP
139, 290 | Next Action: UP
140, 290 | Next Action: UP
141, 290 | Next Action: UP
142, 290 | Next Action: UP
143, 300 | Next Action: RIGHT
144, 300 | Next Action: RIGHT
145, 300 | Next Action: RIGHT
146, 300 | Next Action: RIGHT
147, 310 | Next Action: RIGHT
148, 310 | Next Action: RIGHT
149, 310 | Next Action: RIGHT
150, 310 | Next Action: RIGHT
151, 320 | Next Action: RIGHT
152, 320 | Next Action: RIGHT
153, 320 | Next Action: RIGHT
154, 320 | Next Action: RIGHT
155, 330 | Next Action: RIGHT
156, 330 | Next Action: RIGHT
157, 330 | Next Action: RIGHT
158, 330 | Next Action: RIGHT
159, 340 | Next Action: RIGHT
160, 340 | Next Action: RIGHT
161, 340 | Next Action: RIGHT
162, 340 | Next Action: RIGHT
163, 350 | Next Action: RIGHT
164, 350 | Next Action: RIGHT
165, 350 | Next Action: RIGHT
166, 350 | Next Action: RIGHT
167, 360 | Next Action: RIGHT
168, 360 | Next Action: RIGHT
169, 360 | Next Action: RIGHT
170, 360 | Next Action: RIGHT
171, 370 | Next Action: RIGHT
172, 370 | Next Action: RIGHT
173, 370 | Next Action: RIGHT
174, 370 | Next Action: RIGHT
175, 380 | Next Action: RIGHT
176, 380 | Next Action: RIGHT
177, 380 | Next Action: RIGHT
178, 380 | Next Action: RIGHT
179, 390 | Next Action: RIGHT
180, 390 | Next Action: RIGHT
181, 390 | Next Action: RIGHT
182, 390 | Next Action: RIGHT
183, 400 | Next Action: RIGHT
184, 400 | Next Action: RIGHT
185, 400 | Next Action: RIGHT
186, 400 | Next Action: RIGHT
187, 410 | Next Action: RIGHT
188, 410 | Next Action: RIGHT
189, 410 | Next Action: RIGHT
190, 410 | Next Action: RIGHT
191, 420 | Next Action: RIGHT
192, 420 | Next Action: RIGHT
193, 420 | Next Action: RIGHT
194, 420 | Next Action: RIGHT
195, 430 | Next Action: RIGHT
196, 430 | Next Action: RIGHT
197, 430 | Next Action: RIGHT
198, 430 | Next Action: RIGHT
199, 440 | Next Action: RIGHT
200, 440 | Next Action: RIGHT
201, 440 | Next Action: RIGHT
202, 440 | Next Action: RIGHT
203, 450 | Next Action: RIGHT
204, 450 | Next Action: RIGHT
205, 450 | Next Action: RIGHT
206, 450 | Next Action: RIGHT
207, 460 | Next Action: RIGHT
208, 460 | Next Action: RIGHT
209, 460 | Next Action: RIGHT
210, 460 | Next Action: RIGHT
211, 470 | Next Action: RIGHT
212, 470 | Next Action: RIGHT
213, 470 | Next Action: RIGHT
214, 470 | Next Action: RIGHT
215, 480 | Next Action: RIGHT
216, 480 | Next Action: RIGHT
217, 480 | Next Action: RIGHT
218, 480 | Next Action: RIGHT
219, 490 | Next Action: RIGHT
220, 490 | Next Action: RIGHT
221, 490 | Next Action: RIGHT
222, 490 | Next Action: RIGHT
223, 500 | Next Action: RIGHT
224, 500 | Next Action: RIGHT
225, 500 | Next Action: RIGHT
226, 500 | Next Action: RIGHT
227, 510 | Next Action: RIGHT
228, 510 | Next Action: RIGHT
229, 510 | Next Action: RIGHT
230, 510 | Next Action: RIGHT
231, 520 | Next Action: RIGHT
232, 520 | Next Action: RIGHT
233, 520 | Next Action: RIGHT
234, 520 | Next Action: RIGHT
235, 530 | Next Action: UP
236, 530 | Next Action: UP
237, 530 | Next Action: UP
238, 530 | Next Action: UP
239, 540 | Next Action: UP
240, 540 | Next Action: UP
241, 540 | Next Action: UP
242, 540 | Next Action: UP
243, 590 | Next Action: DOWN
244, 590 | Next Action: DOWN
245, 590 | Next Action: DOWN
246, 590 | Next Action: DOWN
247, 590 | Next Action: DOWN
248, 590 | Next Action: DOWN
249, 590 | Next Action: DOWN
250, 590 | Next Action: DOWN
251, 590 | Next Action: LEFT
252, 590 | Next Action: LEFT
253, 590 | Next Action: LEFT
254, 590 | Next Action: LEFT
255, 590 | Next Action: LEFT
256, 590 | Next Action: LEFT
257, 590 | Next Action: LEFT
258, 590 | Next Action: LEFT
259, 590 | Next Action: DOWN
260, 590 | Next Action: DOWN
261, 590 | Next Action: DOWN
262, 590 | Next Action: DOWN
263, 600 | Next Action: DOWN
264, 600 | Next Action: DOWN
265, 600 | Next Action: DOWN
266, 600 | Next Action: DOWN
267, 610 | Next Action: DOWN
268, 610 | Next Action: DOWN
269, 610 | Next Action: DOWN
270, 610 | Next Action: DOWN
271, 620 | Next Action: DOWN
272, 620 | Next Action: DOWN
273, 620 | Next Action: DOWN
274, 620 | Next Action: DOWN
275, 630 | Next Action: DOWN
276, 630 | Next Action: DOWN
277, 630 | Next Action: DOWN
278, 630 | Next Action: DOWN
279, 640 | Next Action: DOWN
280, 640 | Next Action: DOWN
281, 640 | Next Action: DOWN
282, 640 | Next Action: DOWN
283, 650 | Next Action: DOWN
284, 650 | Next Action: DOWN
285, 650 | Next Action: DOWN
286, 650 | Next Action: DOWN
287, 660 | Next Action: UP
288, 660 | Next Action: DOWN
289, 660 | Next Action: DOWN
290, 660 | Next Action: DOWN
291, 660 | Next Action: DOWN
292, 660 | Next Action: DOWN
293, 670 | Next Action: DOWN
294, 670 | Next Action: DOWN
295, 670 | Next Action: DOWN
296, 670 | Next Action: DOWN
297, 680 | Next Action: DOWN
298, 680 | Next Action: DOWN
299, 680 | Next Action: DOWN
300, 680 | Next Action: DOWN
301, 690 | Next Action: DOWN
302, 690 | Next Action: DOWN
303, 690 | Next Action: DOWN
304, 690 | Next Action: DOWN
305, 700 | Next Action: DOWN
306, 700 | Next Action: DOWN
307, 700 | Next Action: DOWN
308, 700 | Next Action: DOWN
309, 710 | Next Action: DOWN
310, 710 | Next Action: DOWN
311, 710 | Next Action: DOWN
312, 710 | Next Action: DOWN
313, 710 | Next Action: DOWN
314, 710 | Next Action: DOWN
315, 710 | Next Action: DOWN
316, 710 | Next Action: DOWN
317, 710 | Next Action: DOWN
318, 710 | Next Action: DOWN
319, 710 | Next Action: DOWN
320, 710 | Next Action: DOWN
321, 710 | Next Action: DOWN
322, 710 | Next Action: DOWN
323, 710 | Next Action: DOWN
324, 710 | Next Action: DOWN
325, 710 | Next Action: DOWN
326, 710 | Next Action: DOWN
327, 710 | Next Action: DOWN
328, 710 | Next Action: DOWN
329, 710 | Next Action: DOWN
330, 710 | Next Action: DOWN
331, 710 | Next Action: DOWN
332, 710 | Next Action: DOWN
333, 710 | Next Action: DOWN
334, 710 | Next Action: DOWN
335, 710 | Next Action: DOWN
336, 710 | Next Action: DOWN
337, 710 | Next Action: LEFT
338, 710 | Next Action: LEFT
339, 710 | Next Action: LEFT
340, 710 | Next Action: LEFT
341, 710 | Next Action: LEFT
342, 710 | Next Action: LEFT
343, 710 | Next Action: LEFT
344, 710 | Next Action: LEFT
345, 710 | Next Action: LEFT
346, 710 | Next Action: LEFT
347, 710 | Next Action: LEFT
348, 710 | Next Action: LEFT
349, 710 | Next Action: DOWN
350, 710 | Next Action: DOWN
351, 710 | Next Action: DOWN
352, 710 | Next Action: DOWN
353, 720 | Next Action: DOWN
354, 720 | Next Action: DOWN
355, 720 | Next Action: DOWN
356, 720 | Next Action: DOWN
357, 730 | Next Action: DOWN
358, 730 | Next Action: DOWN
359, 730 | Next Action: DOWN
360, 730 | Next Action: DOWN
361, 740 | Next Action: DOWN
362, 740 | Next Action: DOWN
363, 740 | Next Action: DOWN
364, 740 | Next Action: DOWN
365, 750 | Next Action: DOWN
366, 750 | Next Action: DOWN
367, 750 | Next Action: DOWN
368, 750 | Next Action: DOWN
369, 760 | Next Action: DOWN
370, 760 | Next Action: DOWN
371, 760 | Next Action: DOWN
372, 760 | Next Action: DOWN
373, 770 | Next Action: LEFT
374, 770 | Next Action: LEFT
375, 770 | Next Action: LEFT
376, 770 | Next Action: LEFT
377, 780 | Next Action: LEFT
378, 780 | Next Action: LEFT
379, 780 | Next Action: RIGHT
380, 780 | Next Action: RIGHT
381, 780 | Next Action: RIGHT
382, 780 | Next Action: RIGHT
383, 780 | Next Action: RIGHT
384, 780 | Next Action: RIGHT
385, 780 | Next Action: LEFT
386, 780 | Next Action: RIGHT
387, 780 | Next Action: LEFT
388, 780 | Next Action: RIGHT
389, 780 | Next Action: LEFT
390, 780 | Next Action: RIGHT
391, 780 | Next Action: LEFT
392, 780 | Next Action: RIGHT
393, 780 | Next Action: LEFT
394, 780 | Next Action: RIGHT
395, 780 | Next Action: LEFT
396, 780 | Next Action: RIGHT
397, 780 | Next Action: LEFT
398, 780 | Next Action: RIGHT
399, 780 | Next Action: LEFT
400, 780 | Next Action: RIGHT
401, 780 | Next Action: LEFT
402, 780 | Next Action: RIGHT
403, 780 | Next Action: LEFT
404, 780 | Next Action: RIGHT
405, 780 | Next Action: LEFT
406, 780 | Next Action: RIGHT
407, 780 | Next Action: LEFT
408, 780 | Next Action: RIGHT
409, 780 | Next Action: LEFT
410, 780 | Next Action: RIGHT
411, 780 | Next Action: LEFT
412, 780 | Next Action: RIGHT
413, 780 | Next Action: LEFT
414, 780 | Next Action: RIGHT
415, 780 | Next Action: LEFT
416, 780 | Next Action: RIGHT
417, 780 | Next Action: LEFT
418, 780 | Next Action: RIGHT
419, 780 | Next Action: LEFT
420, 780 | Next Action: RIGHT
421, 780 | Next Action: LEFT
422, 780 | Next Action: RIGHT
423, 780 | Next Action: LEFT
424, 780 | Next Action: RIGHT
425, 780 | Next Action: LEFT
426, 780 | Next Action: RIGHT
427, 780 | Next Action: RIGHT
428, 780 | Next Action: LEFT
429, 780 | Next Action: RIGHT
430, 780 | Next Action: LEFT
431, 780 | Next Action: RIGHT
432, 780 | Next Action: LEFT
433, 780 | Next Action: RIGHT
434, 780 | Next Action: LEFT
435, 780 | Next Action: RIGHT
436, 780 | Next Action: LEFT
437, 780 | Next Action: RIGHT
438, 780 | Next Action: LEFT
439, 780 | Next Action: RIGHT
440, 780 | Next Action: LEFT
441, 780 | Next Action: RIGHT
442, 780 | Next Action: RIGHT
443, 780 | Next Action: RIGHT
444, 780 | Next Action: RIGHT
445, 790 | Next Action: RIGHT
446, 790 | Next Action: RIGHT
447, 790 | Next Action: RIGHT
448, 790 | Next Action: RIGHT
449, 800 | Next Action: RIGHT
450, 800 | Next Action: RIGHT
451, 800 | Next Action: RIGHT
452, 800 | Next Action: RIGHT
453, 810 | Next Action: RIGHT
454, 810 | Next Action: RIGHT
455, 810 | Next Action: RIGHT
456, 810 | Next Action: RIGHT
457, 820 | Next Action: RIGHT
458, 820 | Next Action: RIGHT
459, 820 | Next Action: RIGHT
460, 820 | Next Action: RIGHT
461, 830 | Next Action: UP
462, 830 | Next Action: UP
463, 830 | Next Action: UP
464, 830 | Next Action: UP
465, 840 | Next Action: UP
466, 840 | Next Action: UP
467, 840 | Next Action: UP
468, 840 | Next Action: UP
469, 890 | Next Action: DOWN
470, 890 | Next Action: DOWN
471, 890 | Next Action: DOWN
472, 890 | Next Action: DOWN
473, 890 | Next Action: DOWN
474, 890 | Next Action: DOWN
475, 890 | Next Action: DOWN
476, 890 | Next Action: DOWN
477, 890 | Next Action: LEFT
478, 890 | Next Action: LEFT
479, 890 | Next Action: LEFT
480, 890 | Next Action: LEFT
481, 890 | Next Action: LEFT
482, 890 | Next Action: LEFT
483, 890 | Next Action: LEFT
484, 890 | Next Action: LEFT
485, 890 | Next Action: LEFT
486, 890 | Next Action: LEFT
487, 890 | Next Action: LEFT
488, 890 | Next Action: LEFT
489, 890 | Next Action: LEFT
490, 890 | Next Action: LEFT
491, 890 | Next Action: LEFT
492, 890 | Next Action: LEFT
493, 890 | Next Action: LEFT
494, 890 | Next Action: LEFT
495, 890 | Next Action: LEFT
496, 890 | Next Action: LEFT
497, 890 | Next Action: LEFT
498, 890 | Next Action: LEFT
499, 890 | Next Action: LEFT
500, 890 | Next Action: LEFT
501, 890 | Next Action: LEFT
502, 890 | Next Action: LEFT
503, 890 | Next Action: LEFT
504, 890 | Next Action: LEFT
505, 900 | Next Action: LEFT
506, 900 | Next Action: LEFT
507, 900 | Next Action: LEFT
508, 900 | Next Action: LEFT
509, 910 | Next Action: LEFT
510, 910 | Next Action: LEFT
511, 910 | Next Action: LEFT
512, 910 | Next Action: LEFT
513, 920 | Next Action: LEFT
514, 920 | Next Action: LEFT
515, 920 | Next Action: LEFT
516, 920 | Next Action: LEFT
517, 930 | Next Action: LEFT
518, 930 | Next Action: LEFT
519, 930 | Next Action: LEFT
520, 930 | Next Action: LEFT
521, 940 | Next Action: LEFT
522, 940 | Next Action: LEFT
523, 940 | Next Action: LEFT
524, 940 | Next Action: LEFT
525, 950 | Next Action: LEFT
526, 950 | Next Action: LEFT
527, 950 | Next Action: LEFT
528, 950 | Next Action: LEFT
529, 960 | Next Action: LEFT
530, 960 | Next Action: LEFT
531, 960 | Next Action: LEFT
532, 960 | Next Action: LEFT
533, 970 | Next Action: LEFT
534, 970 | Next Action: LEFT
535, 970 | Next Action: LEFT
536, 970 | Next Action: LEFT
537, 980 | Next Action: LEFT
538, 980 | Next Action: LEFT
539, 980 | Next Action: LEFT
540, 980 | Next Action: LEFT
541, 990 | Next Action: LEFT
542, 990 | Next Action: LEFT
543, 990 | Next Action: LEFT
544, 990 | Next Action: LEFT
545, 1000 | Next Action: LEFT
546, 1000 | Next Action: LEFT
547, 1000 | Next Action: LEFT
548, 1000 | Next Action: LEFT
549, 1010 | Next Action: LEFT
550, 1010 | Next Action: LEFT
551, 1010 | Next Action: LEFT
552, 1010 | Next Action: LEFT
553, 1020 | Next Action: LEFT
554, 1020 | Next Action: LEFT
555, 1020 | Next Action: LEFT
556, 1020 | Next Action: LEFT
557, 1030 | Next Action: LEFT
558, 1030 | Next Action: LEFT
559, 1030 | Next Action: LEFT
560, 1030 | Next Action: LEFT
561, 1040 | Next Action: LEFT
562, 1040 | Next Action: LEFT
563, 1040 | Next Action: LEFT
564, 1040 | Next Action: LEFT
565, 1050 | Next Action: LEFT
566, 1050 | Next Action: LEFT
567, 1050 | Next Action: LEFT
568, 1050 | Next Action: LEFT
569, 1060 | Next Action: LEFT
570, 1060 | Next Action: LEFT
571, 1060 | Next Action: LEFT
572, 1060 | Next Action: LEFT
573, 1070 | Next Action: LEFT
574, 1070 | Next Action: LEFT
575, 1070 | Next Action: LEFT
576, 1070 | Next Action: LEFT
577, 1080 | Next Action: UP
578, 1080 | Next Action: DOWN
579, 1080 | Next Action: UP
580, 1080 | Next Action: DOWN
581, 1080 | Next Action: UP
582, 1080 | Next Action: DOWN
583, 1080 | Next Action: UP
584, 1080 | Next Action: DOWN
585, 1080 | Next Action: UP
586, 1080 | Next Action: DOWN
587, 1080 | Next Action: UP
588, 1080 | Next Action: DOWN
589, 1080 | Next Action: UP
590, 1080 | Next Action: DOWN
591, 1080 | Next Action: UP
592, 1080 | Next Action: DOWN
593, 1080 | Next Action: UP
594, 1080 | Next Action: DOWN
595, 1080 | Next Action: UP
596, 1080 | Next Action: DOWN
597, 1080 | Next Action: UP
598, 1080 | Next Action: DOWN
599, 1080 | Next Action: UP
600, 1080 | Next Action: DOWN
601, 1080 | Next Action: UP
602, 1080 | Next Action: DOWN
603, 1080 | Next Action: UP
604, 1080 | Next Action: DOWN
605, 1080 | Next Action: UP
606, 1080 | Next Action: DOWN
607, 1080 | Next Action: UP
608, 1080 | Next Action: DOWN
609, 1080 | Next Action: UP
610, 1080 | Next Action: DOWN
611, 1080 | Next Action: UP
612, 1080 | Next Action: DOWN
613, 1080 | Next Action: UP
614, 1080 | Next Action: DOWN
615, 1080 | Next Action: UP
616, 1080 | Next Action: DOWN
617, 1080 | Next Action: UP
618, 1080 | Next Action: DOWN
619, 1080 | Next Action: UP
620, 1080 | Next Action: DOWN
621, 1080 | Next Action: UP
622, 1080 | Next Action: DOWN
623, 1080 | Next Action: UP
624, 1080 | Next Action: DOWN
625, 1080 | Next Action: UP
626, 1080 | Next Action: DOWN
627, 1080 | Next Action: UP
628, 1080 | Next Action: DOWN
629, 1080 | Next Action: UP
630, 1080 | Next Action: DOWN
631, 1080 | Next Action: UP
632, 1080 | Next Action: DOWN
633, 1080 | Next Action: UP
634, 1080 | Next Action: DOWN
635, 1080 | Next Action: UP
636, 1080 | Next Action: DOWN
637, 1080 | Next Action: UP
638, 1080 | Next Action: DOWN
639, 1080 | Next Action: UP
640, 1080 | Next Action: DOWN
641, 1080 | Next Action: UP
642, 1080 | Next Action: DOWN
643, 1080 | Next Action: UP
644, 1080 | Next Action: DOWN
645, 1080 | Next Action: UP
646, 1080 | Next Action: DOWN
647, 1080 | Next Action: UP
648, 1080 | Next Action: DOWN
649, 1080 | Next Action: UP
650, 1080 | Next Action: DOWN
651, 1080 | Next Action: UP
652, 1080 | Next Action: DOWN
653, 1080 | Next Action: UP
654, 1080 | Next Action: DOWN
655, 1080 | Next Action: UP
656, 1080 | Next Action: DOWN
657, 1080 | Next Action: UP
658, 1080 | Next Action: DOWN
659, 1080 | Next Action: UP
660, 1080 | Next Action: DOWN
661, 1080 | Next Action: UP
662, 1080 | Next Action: DOWN
663, 1080 | Next Action: UP
664, 1080 | Next Action: DOWN
665, 1080 | Next Action: UP
666, 1080 | Next Action: DOWN
667, 1080 | Next Action: UP
668, 1080 | Next Action: UP
669, 1080 | Next Action: UP
670, 1080 | Next Action: UP
671, 1090 | Next Action: UP
672, 1090 | Next Action: UP
673, 1090 | Next Action: UP
674, 1090 | Next Action: UP
675, 1140 | Next Action: DOWN
676, 1140 | Next Action: DOWN
677, 1140 | Next Action: DOWN
678, 1140 | Next Action: DOWN
679, 1140 | Next Action: DOWN
680, 1140 | Next Action: DOWN
681, 1140 | Next Action: DOWN
682, 1140 | Next Action: DOWN
683, 1140 | Next Action: UP
684, 1140 | Next Action: DOWN
685, 1140 | Next Action: UP
686, 1140 | Next Action: DOWN
687, 1140 | Next Action: UP
688, 1140 | Next Action: DOWN
689, 1140 | Next Action: UP
690, 1140 | Next Action: DOWN
691, 1140 | Next Action: UP
692, 1140 | Next Action: DOWN
693, 1140 | Next Action: UP
694, 1140 | Next Action: DOWN
695, 1140 | Next Action: UP
696, 1140 | Next Action: DOWN
697, 1140 | Next Action: UP
698, 1140 | Next Action: DOWN
699, 1140 | Next Action: UP
700, 1140 | Next Action: DOWN
701, 1140 | Next Action: UP
702, 1140 | Next Action: DOWN
703, 1140 | Next Action: UP
704, 1140 | Next Action: DOWN
705, 1140 | Next Action: UP
706, 1140 | Next Action: DOWN
707, 1140 | Next Action: UP
708, 1140 | Next Action: DOWN
709, 1140 | Next Action: UP
710, 1140 | Next Action: DOWN
711, 1140 | Next Action: UP
712, 1140 | Next Action: DOWN
713, 1140 | Next Action: UP
714, 1140 | Next Action: DOWN
715, 1140 | Next Action: UP
716, 1140 | Next Action: DOWN
717, 1140 | Next Action: UP
718, 1140 | Next Action: DOWN
719, 1140 | Next Action: UP
720, 1140 | Next Action: DOWN
721, 1140 | Next Action: UP
722, 1140 | Next Action: DOWN
723, 1140 | Next Action: UP
724, 1140 | Next Action: DOWN
725, 1140 | Next Action: UP
726, 1140 | Next Action: DOWN
727, 1140 | Next Action: UP
728, 1140 | Next Action: DOWN
729, 1140 | Next Action: UP
730, 1140 | Next Action: DOWN
731, 1140 | Next Action: UP
732, 1140 | Next Action: DOWN
733, 1140 | Next Action: UP
734, 1140 | Next Action: DOWN
735, 1140 | Next Action: UP
736, 1140 | Next Action: DOWN
737, 1140 | Next Action: UP
738, 1140 | Next Action: DOWN
739, 1140 | Next Action: UP
740, 1140 | Next Action: DOWN
741, 1140 | Next Action: UP
742, 1140 | Next Action: DOWN
743, 1140 | Next Action: UP
744, 1140 | Next Action: DOWN
745, 1140 | Next Action: UP
746, 1140 | Next Action: DOWN
747, 1140 | Next Action: UP
748, 1140 | Next Action: DOWN
749, 1140 | Next Action: UP
750, 1140 | Next Action: DOWN
751, 1140 | Next Action: UP
752, 1140 | Next Action: DOWN
753, 1140 | Next Action: UP
754, 1140 | Next Action: DOWN
755, 1140 | Next Action: UP
756, 1140 | Next Action: DOWN
757, 1140 | Next Action: UP
758, 1140 | Next Action: DOWN
759, 1140 | Next Action: UP
760, 1140 | Next Action: DOWN
761, 1140 | Next Action: UP
762, 1140 | Next Action: DOWN
763, 1140 | Next Action: UP
764, 1140 | Next Action: DOWN
765, 1140 | Next Action: UP
766, 1140 | Next Action: DOWN
767, 1140 | Next Action: UP
768, 1140 | Next Action: DOWN
769, 1140 | Next Action: UP
770, 1140 | Next Action: DOWN
771, 1140 | Next Action: UP
772, 1140 | Next Action: DOWN
773, 1140 | Next Action: UP
774, 1140 | Next Action: DOWN
775, 1140 | Next Action: UP
776, 1140 | Next Action: DOWN
777, 1140 | Next Action: UP
778, 1140 | Next Action: DOWN
779, 1140 | Next Action: UP
780, 1140 | Next Action: DOWN
781, 1140 | Next Action: UP
782, 1140 | Next Action: DOWN
783, 1140 | Next Action: UP
784, 1140 | Next Action: DOWN
785, 1140 | Next Action: UP
786, 1140 | Next Action: DOWN
787, 1140 | Next Action: UP
788, 1140 | Next Action: DOWN
789, 1140 | Next Action: UP
790, 1140 | Next Action: DOWN
791, 1140 | Next Action: UP
792, 1140 | Next Action: DOWN
793, 1140 | Next Action: UP
794, 1140 | Next Action: DOWN
795, 1140 | Next Action: UP
796, 1140 | Next Action: DOWN
797, 1140 | Next Action: UP
798, 1140 | Next Action: DOWN
799, 1140 | Next Action: UP
800, 1140 | Next Action: DOWN
801, 1140 | Next Action: UP
802, 1140 | Next Action: DOWN
803, 1140 | Next Action: UP
804, 1140 | Next Action: DOWN
805, 1140 | Next Action: UP
806, 1140 | Next Action: DOWN
807, 1140 | Next Action: UP
808, 1140 | Next Action: DOWN
809, 1140 | Next Action: UP
810, 1140 | Next Action: DOWN
811, 1140 | Next Action: UP
812, 1140 | Next Action: DOWN
813, 1140 | Next Action: UP
814, 1140 | Next Action: DOWN
815, 1140 | Next Action: UP
816, 1140 | Next Action: DOWN
817, 1140 | Next Action: UP
818, 1140 | Next Action: DOWN
819, 1140 | Next Action: UP
820, 1140 | Next Action: DOWN
821, 1140 | Next Action: UP
822, 1140 | Next Action: DOWN
823, 1140 | Next Action: UP
824, 1140 | Next Action: DOWN
825, 1140 | Next Action: UP
826, 1140 | Next Action: DOWN
827, 1140 | Next Action: UP
828, 1140 | Next Action: DOWN
829, 1140 | Next Action: UP
830, 1140 | Next Action: DOWN
831, 1140 | Next Action: UP
832, 1140 | Next Action: DOWN
833, 1140 | Next Action: UP
834, 1140 | Next Action: DOWN
835, 1140 | Next Action: UP
836, 1140 | Next Action: DOWN
837, 1140 | Next Action: UP
838, 1140 | Next Action: DOWN
839, 1140 | Next Action: UP
840, 1140 | Next Action: DOWN
841, 1140 | Next Action: UP
842, 1140 | Next Action: DOWN
843, 1140 | Next Action: UP
844, 1140 | Next Action: DOWN
845, 1140 | Next Action: UP
846, 1140 | Next Action: DOWN
847, 1140 | Next Action: UP
848, 1140 | Next Action: DOWN
849, 1140 | Next Action: UP
850, 1140 | Next Action: DOWN
851, 1140 | Next Action: UP
852, 1140 | Next Action: DOWN
853, 1140 | Next Action: UP
854, 1140 | Next Action: DOWN
855, 1140 | Next Action: UP
856, 1140 | Next Action: DOWN
857, 1140 | Next Action: UP
858, 1140 | Next Action: DOWN
859, 1140 | Next Action: UP
860, 1140 | Next Action: DOWN
861, 1140 | Next Action: UP
862, 1140 | Next Action: DOWN
863, 1140 | Next Action: UP
864, 1140 | Next Action: DOWN
865, 1140 | Next Action: UP
866, 1140 | Next Action: DOWN
